ID,Nome,Descrizione,Colore,Categoria
1,Oro Puro,"L'Oro Puro è simbolo di luce, potere e ricchezza spirituale.<br><br>Questo colore brillante e caldo richiama l'energia solare, portando con sé un senso di abbondanza e divinità.<br><br>È un colore che risuona con la magnificenza dell'universo, evocando il benessere e l'equilibrio cosmico.",#FFD700,Metalli
2,Oro Antico,"L'Oro Antico è un colore che racchiude l'essenza del tempo e della tradizione.<br><br>Con la sua tonalità calda e sfumata, evoca una sensazione di nostalgia e saggezza.<br><br>Questo colore ha un'energia che riecheggia con il passato, ma è anche portatore di nuova luce e serenità.",#C89F7F,Metalli
3,Oro Fiamma,"Oro Fiamma è il calore sacro di una fiamma eterna, ardente di potenza e volontà.<br><br>Questo colore richiama l’essenza della luce primordiale, la scintilla divina che anima il cuore di ogni essere.<br><br>È la vibrazione dell'abbondanza e della consapevolezza, un'emanazione del sole interiore.<br><br>Nel Risuonatore Solare, rappresenta il battito della realizzazione e del successo illuminato.<br><br>Un faro dorato che guida lungo il sentiero della verità.",#FF8C00,Metalli
4,Oro Sole,"L'Oro Sole è un colore luminoso e radiante che rappresenta l'energia solare.<br><br>Questo tono caldo e brillante porta con sé vitalità e prosperità, risvegliando l'energia vitale e il benessere.<br><br>È una tonalità che emana forza e gioia, con un tocco di eleganza.",#DAA520,Metalli
5,Oro Brillante,"L'Oro Brillante è una tonalità che emana una luce intensa e splendente, portando energia positiva e prosperità.<br><br>Questo colore è associato alla ricchezza materiale e spirituale, riflettendo una bellezza luminosa che stimola la creatività e l'abbondanza.",#F5C300,Metalli
6,Oro Celestiale,"L'Oro Celestiale è un colore che unisce la luce divina alla preziosità dell’oro.<br><br>Con la sua sfumatura eterea e luminosa, richiama il bagliore delle stelle e il senso di meraviglia cosmica.<br><br>Questo colore ispira elevazione spirituale, saggezza e una connessione profonda con l’infinito.",#F4E3B2,Metalli
7,Oro Rosa,"L'Oro Rosa è un colore che incarna eleganza e delicatezza.<br><br>Con la sua sfumatura calda e romantica, trasmette un senso di dolcezza e raffinatezza.<br><br>Questo colore unisce la solidità dell'oro alla morbidezza del rosa, evocando armonia, amore e una bellezza senza tempo.",#E6C7C2,Metalli
8,Oro Bianco,"L'Oro Bianco è un colore che riflette purezza e modernità.<br><br>Con la sua luminosità cristallina, dona una sensazione di eleganza sofisticata e senza tempo.<br><br>Questo colore rappresenta l'equilibrio tra forza e leggerezza, con un fascino discreto che esprime classe e innovazione.",#E1E1E1,Metalli
9,Grigio Perla,"Il Grigio Perla è una tonalità neutra che emana raffinatezza e tranquillità.<br><br>Questo colore versatile si adatta a qualsiasi ambiente, portando un senso di calma e ordine.",#D3D3D3,Metalli
10,Argento Luce,"L'Argento Luce è un colore delicato e sofisticato, che richiama la luminosità e la purezza della luce riflessa.<br><br>È una tonalità che incarna la calma e la serenità, perfetta per ambienti che necessitano di equilibrio, eleganza e chiarezza mentale.",#C0C0C0,Metalli
11,Argento Scuro,"L'Argento Scuro è una tonalità più profonda e misteriosa, che trasmette eleganza e raffinatezza.<br><br>Con il suo carattere sereno e deciso, questo colore porta un senso di stabilità e connessione con la dimensione spirituale, ideale per momenti di riflessione profonda.",#B0B0B0,Metalli
12,Argento Pallido,"L'Argento Pallido è un colore delicato che emana eleganza e serenità.<br><br>Con la sua tonalità chiara e luminosa, rappresenta la purezza e la lucidità mentale.<br><br>È un colore che riflette l'introspezione e la tranquillità, portando un senso di equilibrio e armonia.",#A9A9A9,Metalli
13,Rame Lucido,"Il Rame Lucido è un colore brillante e caldo che riflette la luce con eleganza.<br><br>La sua luminosità e ricchezza evocano un senso di energia vitale e rinnovamento.<br><br>Questo colore simboleggia la trasformazione e l'integrazione, portando una vibrazione positiva di crescita e sviluppo.",#D68E4E,Metalli
14,Rame Bruciato,"Il Rame Bruciato è una tonalità intensa e profonda che rappresenta il fuoco trasformativo.<br><br>Questo colore emana una potente energia di passione e rinnovamento, creando un'atmosfera calda e stimolante.<br><br>È simbolo di forza e di una bellezza che nasce dalla resistenza e dalla capacità di adattamento agli elementi.",#AD6A4D,Metalli
15,Rame Antico,"Il Rame Antico è una tonalità calda e ricca che richiama l'energia della terra e della tradizione.<br><br>Questo colore è simbolo di forza e resistenza, mentre la sua intensità naturale emana una vibrazione che richiama la connessione profonda con la storia e la cultura.<br><br>Evoca un senso di stabilità e radicamento, ideale per chi cerca una presenza forte e sicura.",#B87333,Metalli
16,Giallo Luce Dorata,"Giallo Luce Dorata è il bagliore della saggezza e della rivelazione interiore.<br><br>Come i primi raggi del sole all’alba, porta chiarezza alla mente e leggerezza all’anima.<br><br>È la vibrazione della conoscenza luminosa, quella che dissolve i dubbi e apre le porte alla consapevolezza.<br><br>Nel Risuonatore Solare, è il battito che illumina il cammino, risvegliando la percezione della verità eterna e infondendo pace interiore.",#FFD966,Caldi
